Found fit 1823 at [0, 0]
Found fit 1553 at [1, 0]
Found fit 2309 at [2, 0]
Found fit 3181 at [3, 0]
Found fit 3631 at [4, 0]
Found fit 2633 at [5, 0]
Found fit 2689 at [6, 0]
Found fit 3313 at [7, 0]
Found fit 1061 at [8, 0]
Found fit 3323 at [9, 0]
Found fit 3373 at [10, 0]
Found fit 3391 at [11, 0]
Found fit 1103 at [11, -1]
Found fit 2269 at [11, -2]
Found fit 1051 at [11, -3]
Found fit 3329 at [11, -4]
Found fit 3301 at [11, -5]
Found fit 2069 at [11, -6]
Found fit 2659 at [11, -7]
Found fit 1039 at [11, -8]
Found fit 3911 at [11, -9]
Found fit 1663 at [11, -10]
Found fit 1327 at [11, -11]
Found fit 2591 at [10, -11]
Found fit 1451 at [10, -10]
Found fit 3943 at [10, -9]
Found fit 1361 at [10, -8]
Found fit 3881 at [10, -7]
Found fit 2467 at [10, -6]
Found fit 2879 at [10, -5]
Found fit 1049 at [10, -4]
Found fit 3779 at [10, -3]
Found fit 1777 at [10, -2]
Found fit 2953 at [10, -1]
Found fit 3079 at [9, -1]
Found fit 2297 at [9, -2]
Found fit 1993 at [9, -3]
Found fit 3833 at [9, -4]
Found fit 2719 at [9, -5]
Found fit 1831 at [9, -6]
Found fit 1699 at [9, -7]
Found fit 1693 at [9, -8]
Found fit 3191 at [9, -9]
Found fit 3467 at [9, -10]
Found fit 3623 at [9, -11]
Found fit 2663 at [8, -11]
Found fit 1487 at [8, -10]
Found fit 2551 at [8, -9]
Found fit 2153 at [8, -8]
Found fit 3049 at [8, -7]
Found fit 2557 at [8, -6]
Found fit 2087 at [8, -5]
Found fit 3613 at [8, -4]
Found fit 3209 at [8, -3]
Found fit 2341 at [8, -2]
Found fit 3361 at [8, -1]
Found fit 2801 at [7, -1]
Found fit 2909 at [7, -2]
Found fit 2213 at [7, -3]
Found fit 1091 at [7, -4]
Found fit 1901 at [7, -5]
Found fit 3463 at [7, -6]
Found fit 3739 at [7, -7]
Found fit 1867 at [7, -8]
Found fit 3557 at [7, -9]
Found fit 3319 at [7, -10]
Found fit 3671 at [7, -11]
Found fit 3011 at [6, -11]
Found fit 3637 at [6, -10]
